"fed_2012","cog2","LIBELLE","age","sex","licences","value.pop","ratio","lib_federation","id"
101,"44109","NANTES","all","all",1124,284959,3.9444270930204,"Fédération Française d'athlétisme",1
102,"44109","NANTES","all","all",1162,284959,4.07777961040009,"Fédération Française des sociétés d'aviron",54
103,"44109","NANTES","all","all",1228,284959,4.30939187742798,"Fédération Française de badminton",73
105,"44109","NANTES","all","all",2271,284959,7.96956755182324,"Fédération Française de basketball",102
106,"44109","NANTES","all","all",274,284959,0.961541835843051,"Fédération Française de boxe",123
107,"44109","NANTES","all","all",183,284959,0.642197649486417,"Fédération Française de canoë-kayak",152
108,"44109","NANTES","all","all",210,284959,0.736948122361463,"Fédération Française de cyclisme",192
109,"44109","NANTES","all","all",2306,284959,8.09239223888349,"Fédération Française d'équitation",229
110,"44109","NANTES","all","all",362,284959,1.27035819188024,"Fédération Française d'escrime",247
111,"44109","NANTES","all","all",6622,284959,23.2384307917981,"Fédération Française de football",271
112,"44109","NANTES","all","all",262,284959,0.919430514565253,"Fédération Française des sports de glace",303
113,"44109","NANTES","all","all",777,284959,2.72670805273741,"Fédération Française de gymnastique",334
114,"44109","NANTES","all","all",400,284959,1.40371070925993,"Fédération Française d’haltérophilie, de musculation, force athlétique et culturisme",366
115,"44109","NANTES","all","all",1843,284959,6.46759709291512,"Fédération Française de handball",397
116,"44109","NANTES","all","all",407,284959,1.42827564667198,"Fédération Française de hockey",424
117,"44109","NANTES","all","all",1704,284959,5.9798076214473,"Fédération Française de judo-jujitsu, kendo et disciplines associées",461
118,"44109","NANTES","all","all",118,284959,0.414094659231679,"Fédération Française de lutte",485
119,"44109","NANTES","all","all",1174,284959,4.11989093167789,"Fédération Française de natation",514
121,"44109","NANTES","all","all",86,284959,0.301797802490885,"Fédération Française de ski",545
122,"44109","NANTES","all","all",337,284959,1.18262627255149,"Fédération Française de taekwondo et disciplines associées",571
123,"44109","NANTES","all","all",5422,284959,19.0272986640183,"Fédération Française de tennis",601
124,"44109","NANTES","all","all",975,284959,3.42154485382108,"Fédération Française de tennis de Table",636
125,"44109","NANTES","all","all",229,284959,0.803624381051309,"Fédération Française de tir",665
126,"44109","NANTES","all","all",147,284959,0.515863685653024,"Fédération Française de tir à l'arc",698
127,"44109","NANTES","all","all",185,284959,0.649216203032717,"Fédération Française de triathlon",735
128,"44109","NANTES","all","all",3101,284959,10.8822672735376,"Fédération Française de voile",753
129,"44109","NANTES","all","all",599,284959,2.10205678711674,"Fédération Française de volleyball",784
131,"44109","NANTES","all","all",158,284959,0.554465730157672,"Fédération Française de hockey sur glace",811
132,"44109","NANTES","all","all",2339,284959,8.20819837239743,"Fédération Française de golf",845
201,"44109","NANTES","all","all",68,284959,0.238630820574188,"Fédération Française d'aéromodélisme",879
202,"44109","NANTES","all","all",186,284959,0.652725479805867,"Fédération Nationale aéronautique",916
203,"44109","NANTES","all","all",5,284959,0.0175463838657491,"Fédération Française d'aérostation",946
204,"44109","NANTES","all","all",133,284959,0.466733810828926,"Fédération Française d'aïkido, aïkibudo et affinitaires",980
205,"44109","NANTES","all","all",95,284959,0.333381293449233,"Fédération Française d'aïkido et de budo",1000
206,"44109","NANTES","all","all",55,284959,0.19301022252324,"Fédération Française du sport automobile",1041
209,"44109","NANTES","all","all",4,284959,0.0140371070925993,"Fédération Française de ball-trap",1055
210,"44109","NANTES","all","all",107,284959,0.375492614727031,"Fédération Française des sports de billard",1091
212,"44109","NANTES","all","all",315,284959,1.10542218354219,"Fédération Française de savate, boxe française et disciplines associées",1119
213,"44109","NANTES","all","all",54,284959,0.18950094575009,"Fédération Française de bowling et de sports de quilles",1147
218,"44109","NANTES","all","all",266,284959,0.933467621657853,"Fédération Française de cyclotourisme",1187
219,"44109","NANTES","all","all",49,284959,0.171954561884341,"Fédération Française de danse",1217
221,"44109","NANTES","all","all",605,284959,2.12311244775564,"Fédération Française d'études et sports sous-marins",1251
222,"44109","NANTES","all","all",115,284959,0.40356682891223,"Fédération Française de football américain",1287
224,"44109","NANTES","all","all",1,284959,0.00350927677314982,"Fédération Française de giraviation",1314
229,"44109","NANTES","all","all",518,284959,1.81780536849161,"Fédération Française de karaté et disciplines associées",1341
232,"44109","NANTES","all","all",287,284959,1.007162433894,"Fédération Française de la montagne et de l'escalade",1358
233,"44109","NANTES","all","all",53,284959,0.185991668976941,"Fédération Française de motocyclisme",1386
234,"44109","NANTES","all","all",3,284959,0.0105278303194495,"Fédération Française motonautique",1414
237,"44109","NANTES","all","all",59,284959,0.207047329615839,"Fédération Française de parachutisme",1444
238,"44109","NANTES","all","all",16,284959,0.0561484283703971,"Fédération Française de pêche sportive au coup",1476
239,"44109","NANTES","all","all",4,284959,0.0140371070925993,"Fédération Française des pêcheurs en Mer",1502
242,"44109","NANTES","all","all",270,284959,0.947504728750452,"Fédération Française de pétanque et jeu provençal",1532
243,"44109","NANTES","all","all",56,284959,0.19651949929639,"Fédération Française de planeur ultra-léger motorisé",1568
245,"44109","NANTES","all","all",972,284959,3.41101702350163,"Fédération Française de la randonnée pédestre",1591
246,"44109","NANTES","all","all",734,284959,2.57580915149197,"Fédération Française de roller skating",1627
248,"44109","NANTES","all","all",155,284959,0.543937899838222,"Fédération Française de rugby à XIII",1655
249,"44109","NANTES","all","all",196,284959,0.687818247537365,"Fédération Française de sauvetage et secourisme",1688
254,"44109","NANTES","all","all",80,284959,0.280742141851986,"Fédération Française de WUSHU Arts énergétiques et Martiaux Chinois",1716
258,"44109","NANTES","all","all",142,284959,0.498317301787275,"Fédération Française de vol libre",1744
262,"44109","NANTES","all","all",65,284959,0.228102990254738,"Fédération Française de baseball et softball",1771
264,"44109","NANTES","all","all",73,284959,0.256177204439937,"Fédération Flying Disc France",1806
401,"44109","NANTES","all","all",180,284959,0.631669819166968,"Fédération Française des clubs alpins et de montagne",1834
402,"44109","NANTES","all","all",1195,284959,4.19358574391404,"Fédération Française d'éducation physique et de gymnastique volontaire",1868
403,"44109","NANTES","all","all",885,284959,3.10570994423759,"Fédération Française pour l'entraînement physique dans le monde moderne",1905
404,"44109","NANTES","all","all",610,284959,2.14065883162139,"Fédération Française de la retraite sportive",1923
405,"44109","NANTES","all","all",43,284959,0.150898901245442,"Fédération Française du sport travailliste",1953
407,"44109","NANTES","all","all",14,284959,0.0491298748240975,"Fédération nationale du sport en milieu rural",1982
408,"44109","NANTES","all","all",4441,284959,15.5846981495584,"Fédération sportive et culturelle de France",2011
411,"44109","NANTES","all","all",44,284959,0.154408178018592,"Fédération sportive de la Police Nationale",2048
413,"44109","NANTES","all","all",3270,284959,11.4753350481999,"Union Française des oeuvres laïques d'éducation physique (UFOLEP)",2075
415,"44109","NANTES","all","all",138,284959,0.484280194694675,"Fédération Française omnsisports des personnels de l'éducation nationale et jeunesse et sports",2120
417,"44109","NANTES","all","all",33,284959,0.115806133513944,"Union Nationale Sportive Léo Lagrange",2131
418,"44109","NANTES","all","all",0,284959,0,"Fédération Française du sport d'entreprise",2166
420,"44109","NANTES","all","all",2782,284959,9.7628079829028,"Fédération sportive des ASPTT",2209
501,"44109","NANTES","all","all",143,284959,0.501826578560424,"Fédération Française handisport",2232
503,"44109","NANTES","all","all",360,284959,1.26333963833394,"Fédération Française du sport adapté",2260
601,"44109","NANTES","all","all",1970,284959,6.91327524310515,"Fédération française du sport universitaire",2300
603,"44109","NANTES","all","all",751,284959,2.63546685663552,"Union nationale des clubs universitaires",2313
604,"44109","NANTES","all","all",2723,284959,9.55576065328696,"Union nationale du sport scolaire (UNSS)",2356
